Experience Level,education_level,skill_score,expected_salary_usd,hire
Mid Level,3,6,164839,0
Mid Level,1,7,126426,1
Mid Level,1,16,123689,1
Entry Level,1,34,57382,1
Mid Level,2,0,86204,1
Mid Level,1,81,189337,1
Mid Level,1,90,92513,1
Senior Level,1,72,196065,1
Entry Level,3,87,166694,1
Mid Level,2,57,169438,1
Senior Level,1,69,182942,0
Senior Level,3,26,131576,0
Senior Level,2,47,178126,1
Entry Level,3,16,151511,0
Senior Level,3,80,187393,0
Mid Level,2,65,165432,0
Mid Level,3,30,196622,1
Mid Level,1,36,92326,0
Senior Level,3,71,119715,0
Entry Level,2,99,82634,0
Senior Level,1,76,163880,1
Entry Level,3,53,95233,1
Entry Level,3,74,94767,1
Senior Level,3,34,159923,1
Mid Level,2,35,96028,0
Entry Level,3,89,55486,0
Senior Level,2,0,97047,1
Entry Level,3,12,191930,0
Entry Level,3,41,56735,1
Senior Level,2,9,159945,1
Senior Level,3,88,174878,1
Mid Level,3,15,177141,1
Mid Level,2,87,67587,1
Senior Level,3,4,54119,1
Senior Level,3,3,96559,0
Entry Level,2,23,128669,0
Mid Level,1,65,116827,0
Senior Level,3,88,163861,0
Entry Level,1,10,172770,1
Entry Level,1,89,188300,0
Mid Level,2,98,118265,0
Entry Level,1,26,57252,1
Mid Level,2,38,191770,0
Entry Level,2,82,118334,0
Entry Level,1,12,62244,1
Mid Level,2,13,115890,0
Senior Level,3,58,111265,1
Entry Level,1,98,164951,1
Entry Level,1,56,72972,1
Senior Level,1,82,130795,0
Senior Level,3,86,142877,0
Mid Level,1,29,193641,1
Mid Level,3,80,130158,0
Senior Level,3,63,172902,1
Senior Level,3,77,156147,1
Mid Level,2,28,113335,0
Mid Level,1,85,60019,0
Entry Level,2,21,163147,1
Mid Level,2,3,179575,0
Mid Level,2,86,51558,1
Entry Level,2,55,191683,1
Entry Level,1,48,129381,0
Mid Level,2,4,195450,1
Mid Level,1,94,155546,1
Senior Level,1,11,185616,1
Senior Level,3,19,197439,1
Entry Level,3,24,116162,1
Senior Level,2,26,93395,0
Mid Level,3,70,88594,0
Entry Level,1,62,147269,0
Entry Level,2,95,114339,1
